TESTO DELLA DOMANDA,RISPOSTA 1,RISPOSTA 2,RISPOSTA 3,RISPOSTA 4,RISPOSTA 5,RISPOSTA 6,PROGRESSIVO DOMANDA,TIPOLOGIA,SETTORE,ARGOMENTO
"L'imbarcazione “Sanvito”, alle ore 13h00m, si trova sul punto nave A da cui osserva il Faro dell'Isola di Pianosa (Lam.(2)10s42m18M) per rilevamento vero Rilv = 246° distanza 3,2 miglia nautiche, da tale posizione si dirige con velocità propulsiva Vp = 4,8 kn verso il punto B avente coordinate geografiche GPS: Lat. 42° 23',3 N - Long. 010° 05',9 E.
Considerato che in zona è presente una corrente di direzione Dc = 280° e velocità Vc = 1,5 kn, determinare il valore della prora vera Pv.",Pv = 144° ÷ 150°,,,,,,5.3.1 - 10,C,C,correnti
"Alle ore 05h30m, l'imbarcazione “Nausicaa” si trova sul punto A situato a 0,9 miglia a E del Faro dello Scoglio Africa (Lam.5s19m12M). Da tale posizione l'unità si dirige, impostando una velocità propulsiva Vp = 5,5 kn verso il punto nave B, da cui si osserva il “punto trigonometrico” di Monte della Fortezza (Isola di Montecristo) per rilevamento vero Rilv = 180° e distanza di 2,8 miglia nautiche. Posto che in zona non sono presenti elementi perturbatori del moto e che il propulsore dell'unità “Nausicaa” ha un consumo orario di 38 l/h, determinare la quantità di carburante necessaria per la traversata, comprensiva di riserva.",Carburante 90 ÷ 92 litri,,,,,,5.3.2 - 1,C,C,carburante
"Partenza dal punto A di coordinate geografiche GPS: Lat.42°30' N  Long.010°30'
E con una prora vera Pv = 253° e una velocità propulsiva Vp = 6 kn.
Durante la navigazione si effettuano due rilevamenti polari a sinistra di Scoglio Africa:
ρ = -045° eseguito alle ore 10h00m ρ = -090° eseguito alle ore 10h27m
Da tale punto nave B si decide di raggiungere il punto C di coordinate
geografiche GPS: Lat. 42°30'N e Long. 010°00'E.
Determinare il carburante necessario alla navigazione, comprensivo della riserva, sapendo che il motore consuma 10 l/h.",Carburante 58 ÷ 60 litri,,,,,,5.3.2 - 2,C,C,carburante
"Partenza dal punto A di coordinate geografiche GPS: Lat.42°30' N e Long.010°30' E con una prora vera Pv = 275°.
Al fine di determinare la velocità di navigazione effettiva, si rileva Punta Brigantina con due rilevamenti polari a dritta:
ρ = +045° eseguito alle ore 10h00m ρ = +090° eseguito alle ore 10h25m
Da tale punto nave B delle 10:25, si decide di raggiungere Scoglio Africa (faro). Determinare il carburante necessario, inclusa la riserva, per giungere a destinazione sapendo che il motore consuma 10 l/h.",Carburante 60 ÷ 62 litri,,,,,,5.3.2 - 3,C,C,carburante
"Partenza dal punto A di coordinate geografiche GPS: Lat.42°20' N e Long.010°09',2 E con una prora vera Pv  = 360°.
Al fine di determinare la velocità di navigazione effettiva, si determina il punto nave B eseguendo con faro Isola Pianosa due rilevamenti polari a sinistra:
ρ = -045° eseguito alle ore 22h00m ρ = -090° eseguito alle ore 22h15m
Da tale punto B, si vuole raggiungere il punto C di coordinate geografiche GPS:
Lat. 42°30'N e Long. 010°20'E.
Determinare il carburante necessario, compresa la riserva, per l'intera
traversata sapendo che il motore ha un consumo di 6 l/h.",Carburante 18 ÷ 20 litri,,,,,,5.3.2 - 4,C,C,carburante
"Partenza dal punto A di coordinate geografiche GPS: Lat.42°30' N e Long.010°00' E con una prora vera Pv = 062°.
Al fine di determinare la velocità di navigazione effettiva, si determina il punto nave B eseguendo con faro di isola Pianosa due rilevamenti polari a sinistra:
ρ = -045° eseguito alle ore 09h00m ρ = -090° eseguito alle ore 09h25m
Da tale punto nave B delle ore 9:25 si decide di proseguire la navigazione diretti verso il punto C di coordinate geografiche GPS: Lat. 42°30'N e Long. 010°20'E.
Determinare il carburante necessario per l'intera traversata, compresa la
riserva, sapendo che il motore ha un consumo di 6 l/h.","Carburante 19,5 ÷ 21,5 litri",,,,,,5.3.2 - 5,C,C,carburante
"Partenza dal punto A situato a 2,5 miglia nautiche a Sud Ovest di Punta del Libeccio (Ovest isola Pianosa) diretti verso il punto B di coordinate geografiche GPS: Lat.42°20' N e Long.010°30' E.
Al fine di determinare la velocità di navigazione effettiva, si determina il punto nave eseguendo con Punta del Diavolo (Nord isola Montecristo) due rilevamenti polari a dritta:
ρ = +045° eseguito alle ore 09h00m ρ =+090° eseguito alle ore 09h38m
Determinare il carburante necessario per l'intera traversata, compresa la
riserva, sapendo che il motore ha un consumo di 10 l/h.",Carburante 54 ÷ 56 litri,,,,,,5.3.2 - 6,C,C,carburante
"Nel 2007, alle ore 09h30m, l'imbarcazione “Venus” parte dal punto A di coordinate geografiche GPS: Lat. 42° 34',4 N - Long. 009° 58',5 E e procede con velocità propulsiva Vp = 6 kn verso il punto B determinato dai seguenti luoghi di posizione:
distanza di 3,5 miglia sul rilevamento vero Rilv = 270° del Faro dello Scoglio Africa (Lam.5s19m12M).
Considerando che in zona non sono presenti elementi perturbatori del moto e che il propulsore dell'unità ha un consumo orario di 15 l/h, determinare, compresa la riserva, il carburante necessario.",Carburante 48 ÷ 50 litri,,,,,,5.3.2 - 7,C,C,carburante
"Stiamo navigando a Sud dell'Isola di Pianosa con prora bussola Pb = 265° (declinazione d = 3°W, deviazione δ = 0°) e velocità propria Vp = 5 kn.
Vogliamo determinare il punto nave costiero A eseguendo alle ore 10h00m un rilevamento bussola di Punta Brigantina Rilb = 315° e dopo 36 minuti di navigazione di Torre Cala della Ruta un rilevamento bussola Rilb = 350°.
Determinare le coordinate del punto nave delle ore 10h36m.","Lat. 42°31',4 N ÷ 42°32',0 N   Long.
010°03',8 E ÷ 010°04',4
E",,,,,,5.3.3 - 1,C,C,navigazione costiera
"Nel dicembre 2008, alle ore 10h18m, l'imbarcazione “Mizar” si trova sul punto A di coordinate geografiche GPS: Lat. 42° 34',5 N Long. 010° 08',5 E.
Non essendo presenti in zona elementi perturbatori del moto, si intende procedere per passare a 2,6 miglia nautiche al traverso a dritta del Faro dello Scoglio Africa (Lam.5s19m12M) ad una velocità propulsiva Vp = 6 kn (punto C). Il valore di declinazione nel 1994 è: 0° 20' E  (variazione annua 7' E).
Determinare il valore della prora bussola Pb.  PER LA RISOLUZIONE DEL QUESITO E' NECESSARIO UTILIZZARE LA TABELLA DELLE DEVIAZIONI ALLEGATA",Pb = 176° ÷ 182°,,,,,,5.3.3 - 2,C,C,navigazione costiera
"Nel novembre 2009, alle ore 16h00m, l'unità “Mars” si trova sul punto A di coordinate geografiche GPS: Lat. 42° 33',0 N e Long. 009° 56',0 E.
Non essendo presenti in zona elementi perturbatori del moto, si intende passare a 3,1 miglia nautiche al traverso a dritta del Faro Scoglio Africa (Lam.5s19m12M) ad una velocità propulsiva Vp = 9 kn.
Il valore di declinazione nel 1994 è: 0° 20' E (variazione annua 7' E). Determinare il valore della prora bussola Pb. PER LA RISOLUZIONE DEL QUESITO E' NECESSARIO UTILIZZARE LA TABELLA DELLE DEVIAZIONI ALLEGATA",Pb = 133° ÷ 139°,,,,,,5.3.3 - 3,C,C,navigazione costiera
"Partenza dal punto A situato a 6 miglia nautiche da Scoglio Africa sul rilevamento vero Rilv = 171°. Da tale posizione dirigiamo sul punto  B di coordinate geografiche GPS: Lat. 42° 37',6 N e Long. 010° 10' E con velocità propulsiva Vp = 12 kn.
Alle ore 10h00m  rileviamo il faro dell'Isola di Pianosa con un rilevamento polare a sinistra ρ = -045°, dopo 15 minuti di navigazione rileviamo lo stesso faro per un rilevamento polare a sinistra  ρ = -125°.
Determinare il punto nave delle ore 10h15m .","Lat. 42°35',1 N ÷ 42°35',7 N    Long.
010°08',4 E ÷ 010°09',0
E",,,,,,5.3.3 - 4,C,C,navigazione costiera
"Stiamo navigando a Sud dell'isola di Pianosa con rotta vera Rv = 090° e velocità
propulsiva Vp = 6 kn.
Si vuole determinare il punto nave A eseguendo alle ore 12h00m con Torre Cala della Ruta un rilevamento vero Rilv = 030° e alle ore 12h50m  un rilevamento vero Rilv = 330° con faro di Isola Pianosa.
Determinare le coordinate del punto nave delle ore 12h50m.","Lat. 42°31,7' N÷
42°32',3 N    Long.
010°07',9 E ÷ 010°08',5
E",,,,,,5.3.3 - 5,C,C,navigazione costiera
"Stiamo navigando a Sud Sud Est dell'Isola di Pianosa con prora bussola Pb = 065° (declinazione d= 1° E, deviazione δ = +4°) e una velocità propulsiva Vp = 6 kn.
Alle ore 10h00m  rileviamo con grafometro semicircolare la Torre di Cala della Ruta con rilevamento polare sin. ρ = -118° e alle ore 10h14m  l'Isola La Scola con rilevamento polare sin. ρ = - 098°.
Determinare le coordinate del punto nave delle ore 10h14m .","Lat. 42° 33',0 N÷
42°33',6 N   Long. 010°
07',3 E ÷ 010°07',9 E",,,,,,5.3.3 - 6,C,C,navigazione costiera
"Il giorno 8 Gennaio 2021 siamo in navigazione ad Est dell'Isola Pianosa con prora bussola Pb = 042° (deviazione δ = 1° E) e velocitè propulsiva Vp = 12 kn. Il valore della declinazione magnetica anno 2018:
d = 2 °45' W variazione annua 5' W.
Alle ore 11h45m  si rileva Punta Brigantina per rilevamento bussola Rilb = 277°; alle ore 11h50m  si rileva Punta del Grottone per rilevamento bussola Rilb = 307°.
Determinare le coordinate del Punto nave delle ore 11h50m.","Lat. 42°34',4 N ÷
42°35',0 N      Long.
010° 09',4 E ÷ 010°10',0
E",,,,,,5.3.3 - 7,C,C,navigazione costiera
"Alle ore 09h00m in navigazione con una rotta vera Rv = 150°, si rileva il faro dell'Isola di Pianosa con rilevamento polare ρ = +138°, distanza 3,6 miglia nautiche.
Sapendo che in zona spira un vento di Ponente che crea uno scarroccio di 8°, indicare le coordinate del punto nave B dove fermarsi a causa del divieto di pesca imposto dalla zona 2 dell'Isola di Montecristo.","Lat. 42°23',6 N ÷ 42°24',0N   Long.
010°17',8 E ÷ 010°18',2
E",,,,,,5.3.4 - 1,C,C,scarroccio
"Stiamo navigando a Sud Sud Est dell'Isola di Pianosa con rotta vera Rv = 072°.
Alle ore 10h00m rileviamo a sinistra, la Torre di Cala della Ruta con
rilevamento polare ρ = -119° e contemporaneamente l'Isola La Scola con rilevamento polare ρ = - 077°.
Determinare le coordinate del punto nave B delle ore 10h00m considerando che in zona è presente un vento di tramontana che crea uno scarroccio di 2°.","Lat. 42° 31',9 N ÷
42°32',3 N   Long. 010°
06',7 E ÷ 010°07',1 E",,,,,,5.3.4 - 2,C,C,scarroccio
"Ci troviamo sul punto A in cui rileviamo il faro dello Scoglio d'Africa con rilevamento vero Rlv = 090° distanza 2,8 miglia nautiche; dal punto A dirigiamo con rotta vera Rv = 025° sul punto B in cui rileviamo a sinistra il faro dell'Isola  di Pianosa con rilevamento polare ρ = -137°.
Sapendo che in zona è presente un vento di Levante che provoca uno scarroccio di 8°, determinare le coordinate del punto nave B.","Lat. 42°35',5 N ÷ 42°35',9N
Long.010°09',0 E ÷ 010°09',4 E",,,,,,5.3.4 - 3,C,C,scarroccio
"Ci troviamo nel punto A situato a 1,5 miglia nautiche a Nord-Ovest del Faro di Scoglio Africa e vogliamo seguire una rotta vera Rv = 352° dirigendo verso l'Isola d'Elba. In zona è presente un vento di Maestrale che provoca uno scarroccio di 8°.
Determinare le coordinate geografiche del punto B al traverso del faro di isola Pianosa.","Lat. 42° 33',7 N ÷
42°34',1N   Long. 010°
00',0 E ÷ 010°00',4 E",,,,,,5.3.4 - 4,C,C,scarroccio
"Alle ore 8h30m dal punto nave A situato a 2 miglia nautiche a Sud Ovest del Faro Scoglio Africa, considerando che in zona insiste un vento di Scirocco che provoca uno scarroccio di - 6° e una velocità effettiva Ve = 18 kn,  si intende procedere con rotta vera Rv = 020°.
Determinare l'ora in cui ci troviamo nel punto B, dove rileviamo Punta
Brigantina (zona Sud isola Pianosa) al traverso.",Ora del rilevamento: 09h13m ÷ 09h19m,,,,,,5.3.4 - 5,C,C,scarroccio
"Alle ore 09h30m l'imbarcazione “Nuraghe”, navigando a S del Promontorio dell'Argentario, determina la propria posizione sul punto A, osservando simultaneamente la Torre di Punta Avoltore (Promontorio Argentario) per rilevamento vero Rilv = 030° e la Torre di Punta di Torre Ciana (Promontorio Argentario) per rilevamento vero Rilv = 321°.
Deve raggiungere il punto B situato a 3 miglia nautiche a N dal Faro di Punta del Fenaio (Lam.(3)15s39m16M) (Isola del Giglio). L'ora stimata di arrivo (ETA) è fissata per le ore 11h00m.
Considerato che in zona agisce una corrente di direzione Dc = 158° e velocità Vc = 2 kn, determinare la prora vera Pv.",Pv = 277° ÷ 303°,,,,,,5.4.1 - 1,C,D,correnti
"L'imbarcazione “Jupiter”, alle ore 09h45m, si trova sul punto A di coordinate geografiche GPS: Lat. 42° 23',2 N - Long. 010° 56',8 E.
Da tale punto A procede con velocità propulsiva Vp = 7 kn verso il punto B situato sul rilevamento  vero Rilv = 305° del Faro Talamone (Lam.(2)10s30m15M) ad una distanza di 0,5 miglia nautiche.
Considerato che in zona è presente una corrente di direzione Dc = 075° e
velocità Vc = 3 kn, determinare l'ora di arrivo sul punto B.",ora di arrivo 11h06m ÷ 11h12m,,,,,,5.4.1 - 2,C,D,correnti
"L'imbarcazione “Aldebaran” è in navigazione nei pressi del Promontorio
dell'Argentario e, alle ore 11h30m, determina la propria posizione osservando il Faro di P.ta Lividonia (Lam.5s47m16M) per Rilv = S ad una distanza di 2,2 miglia nautiche (punto A).
Dal punto A, l'imbarcazione procede con prora vera Pv = 292° e con una
velocità propulsiva Vp = 6 kn.
Alle ore 13h00m, al fine di verificare gli elementi del moto presenti in zona, l'unità determina la posizione individuata dalle seguenti coordinate geografiche GPS: Lat. 42° 32',4 N - Long. 010° 57',0 E (punto B).
Posto che sono, pertanto, variati gli elementi perturbatori del moto, determinare la velocità corrente Vc.","Vc = 0,7 kn ÷ 1,3 kn",,,,,,5.4.1 - 3,C,D,correnti
"Nell'anno 2000, l'imbarcazione “Rigel” alle ore 19h40m si trova sul punto A individuato dall'intersezione del rilevamento vero Rilv = 119° del Faro di P.ta del Fenaio (Lam.(3)15s39m16M) (Isola del Giglio) e la batimetrica dei 200 metri.
Dal punto A, l'imbarcazione procede con prora bussola Pb = 069° (deviazione letta nella tabella di borso δ = - 4°) e con velocità propulsiva Vp = 6 kn verso il punto B, situato a 0,5 miglia nautiche a S del Faro di Talamone (Lam.(2)10s30m15M).
Il valore di declinazione nel 1994 è: 0° 30' E (variazione annua 7' E)
Alle ore 21h00m, al fine di verificare gli elementi del moto presenti in zona, l'unità determina la posizione (punto C) osservando simultaneamente il Faro di P.ta del Fenaio (Lam.(3)15s39m16M) per rilevamento bussola Rilb = 195° e il Faro di Punta Lividonia (Lam.5s47m16M) per rilevamento bussola Rilb = 107°. Determinare la rotta vera Rv.",Rv = 055° ÷ 061°,,,,,,5.4.1 - 4,C,D,correnti
"L'imbarcazione “Regina” è in navigazione nei pressi del Promontorio dell'Argentario.
Alle ore 12h18m l'imbarcazione determina la propria posizione osservando simultaneamente il faro di Talamone (Lam.(2)10s30m15M) per rilevamento vero Rilv = 047° ed il Faro di P.ta Lividonia (Lam.5s47m16M) per rilevamento vero Rilv = 152° (punto A).
Dal punto A l'imbarcazione procede con prora vera Pv = 243° e con una
velocità propulsiva Vp = 5 kn.
Alle ore 13h30m, al fine di verificare gli elementi del moto presenti in zona, l'unità determina la posizione individuata dalle seguenti coordinate geografiche GPS: Lat. 42° 26',2 N - Long. 010° 58',8 E (punto B).
Posto che sono, pertanto, variati gli elementi perturbatori del moto, determinare la direzione della corrente Dc.",Dc = 124° ÷ 130°,,,,,,5.4.1 - 5,C,D,correnti
"Alle ore 13h00m l'imbarcazione “Acrux” si trova sul punto di coordinate geografiche GPS: Lat. 42° 32',4 N - Long. 010° 57',0 E (punto A).
Da tale posizione l'imbarcazione intende dirigere, con una velocità propulsiva Vp = 6 kn, sul punto B che si trova rilevando il Faro della Formica Grande (Lam.6s23m11M) per Rilv = E ad una di 4,6 miglia nautiche.
Considerando che in zona è presente una corrente di direzione Dc = 048° e
velocità Vc = 2,2 kn, determinare l'ora di arrivo al punto B.",ora di arrivo 14h44m ÷ 14h50m,,,,,,5.4.1 - 6,C,D,correnti
"L'imbarcazione “Vega” è in navigazione a Nord dell'Isola del Giglio.
Alle ore 12h00m l'unità determina la propria posizione osservando il  Faro di Formica Grande (Lam.6s23m11M) per rilevamento vero Rilv = 124° ad una distanza di 2,4  miglia nautiche (punto A).
Da tale posizione l'imbarcazione intende dirigere, con una velocità propulsiva Vp = 10 kn, sul punto  B che si trova rilevando il Faro di Punta del Fenaio (Lam.(3)15s39m16M) per rilevamento vero Rilv = 153° ad una distanza di 1 miglio nautico.
Considerando che in zona è presente una corrente di direzione Dc = 048° e
velocità Vc = 2,2 kn, determinare l'ora di arrivo al punto B.",ora di arrivo 13h20m ÷ 13h26m,,,,,,5.4.1 - 7,C,D,correnti
"Nel 2009, alle ore 16h45m, l'imbarcazione “Schedir” naviga con una prora vera Pv = 068° alla velocità propulsiva Vp = 8 kn e determina la propria posizione osservando il Faro di Formica Grande (Lam.6s23m11M) per rilevamento vero Rilv = 333° ad una distanza di 2,1 miglia nautiche (punto A).
Da tale posizione l'imbarcazione intende dirigere verso il punto B di coordinate geografiche: Lat. 42° 35',4 N – Long. 011°03',4 E.
Alle ore 17h39m, l'imbarcazione osserva il Faro di P.ta Lividonia (Lam.5s47m16M) per rilevamento  vero Rilv = 159° ad una distanza minima dalla costa di 6 miglia nautiche.
Considerando che in zona è presente una corrente di direzione Dc = 180° e velocità Vc = 3,2 kn, determinare la rotta vera Rv.",Rv = 089° ÷ 095°,,,,,,5.4.1 - 8,C,D,correnti
"L'imbarcazione “Essex” sta navigando da due ore diretta al porto di Talamone. Alle ore 12h00 determiniamo il punto nave con il GPS e ci accorgiamo di essere fuori rotta:
Punto nave A GPS Lat. 42° 25',5 N - Long. 010° 51',1 E;
Punto nave B stimato Lat. 42° 26',6 N - Long. 010° 47',3 E.
Imputando lo spostamento alla corrente, calcolare la velocità propulsiva Vp necessaria per arrivare alle ore 15h00 al porto turistico di Talamone (simbolo).","Vp = 3,9 ÷ 4,5 kn",,,,,,5.4.1 - 9,C,D,correnti
"Sono le ore 10h00 e l'unità “Vega” si trova sul punto A in cui osserva simultaneamente il faro di Talamone per rilevamento vero Rlv = 053° e il faro di Punta Lividonia per rilevamento vero Rlv = 150°.
Dal punto A, l'imbarcazione procede con prora vera Pv = 230° e con velocità
propulsiva Vp = 10 nodi.
Dopo 45 minuti di navigazione, al fine di verificare gli elementi del moto
presenti nella zona, l'unità determina la posizione (punto B) osservando sulla sua sinistra il faro di Punta del Fenaio con rilevamento polare ρ = 030° a una distanza di 3,5 miglia nautiche.
Il punto B non coincide con il punto stimato a quell'ora, imputiamo lo
spostamento alla corrente. Determinare la velocità corrente Vc.","Vc = 1,3 ÷ 1,9 kn",,,,,,5.4.1 - 10,C,D,correnti
"L'unità “Rigel” alle ore 10h00 si trova sul punto A di coordinate geografiche
GPS:
Lat. 42° 30',6 N e Long. 011° 06',4 E.
Si sta navigando seguendo una rotta vera Rv = 300° e una velocità propulsiva Vp = 7,2 kn; sappiamo che nella zona insite una corrente con direzione corrente Dc = 180° e velocità corrente Vc = 2 kn.
Determinare la prora vera Pv.",Pv = 310° ÷ 316°,,,,,,5.4.1 - 11,C,D,correnti
"L'imbarcazione “Regina” alle ore 08h30m si trova sul punto A di coordinate
geografiche GPS:
Lat. 42° 24',.3 N - Long. 010° 55',1 E
Stiamo navigando con velocità propulsiva Vp =7 kn verso il punto B di coordinate Lat. 42° 21',6 N - Long. 010° 59',4 E. e nella zona è presente una corrente con direzione corrente Dc Nord e velocità Vc = 1,5 kn, determinare la prora vera Pv.",Pv = 136° ÷ 142°,,,,,,5.4.1 - 12,C,D,correnti
"Alle ore 11h00m l'unità “Fru Fru”si trova nel punto nave A determinato con l'allineamento tra la la Torre di Cala di Forno e il faro di Formica Grande e il rilevamento vero di Torre Poggio Raso Rilv = 098°.
Dal punto A si vuole raggiungere il punto B di coordinate geografiche Lat.
42°37',8 N e Long. 010°50' E alle ore 12h30m.
Considerando che in zona è presente una corrente con direzione corrente Dc = 145° e velocità Vc = 1.5 kn, determinare la prora vera Pv.",Pv = 287° ÷ 292°,,,,,,5.4.1 - 13,C,D,correnti
"Alle ore 10h00m l'imbarcazione “Italia” si trova nel punto A, e osserva il Fanale rosso del Porto di Piombino (Lam.r.5s8M) per rilevamento vero Rilv = 243°, ad una distanza dallo stesso di 0,4 miglia nautiche. Da questo punto
l'imbarcazione dirige verso la Torre dello Scoglio dello Sparviero, in modo da giungere sul punto B di coordinate geografiche: Lat. 42° 49',0 N e Long. 010° 41',4 E, alle ore 10h40m.
Considerato che in zona è presente una corrente di direzione Dc = 192° e velocità Vc = 3 kn, determinare la prora vera Pv.",Pv = 127° ÷ 133°,,,,,,5.4.1 - 14,C,D,correnti
"Alle ore 03h20m l'imbarcazione “Pollux” parte dal punto A, situato sul rilevamento vero Rilv = N della Torre dello Scoglio dello Sparviero (P.ta Ala) ad una distanza di 3 miglia nautiche, e procede seguendo una prora vera Pv = 161° con una velocità propulsiva Vp = 10 kn.Alle ore 04h26m, al fine di
verificare gli elementi del moto presenti in zona, l'unità determina la posizione osservando il Faro di Formica Grande (Lam.6s23m11M) per Rilv = 124° ad una distanza minima dalla costa di 2,4 miglia nautiche.
Posto che sono, pertanto, variati gli elementi perturbatori del moto, determinare la direzione della corrente Dc.",Dc = 046°÷ 052°,,,,,,5.4.1 - 15,C,D,correnti
"Alle ore 18h00m l'unità “Kochab” sta navigando con prora vera Pv = 076° e velocità propulsiva Vp = 7,1 kn e si trova sul punto A di coordinate geografiche GPS:Lat. 42° 21',0 N - Long. 009° 57',0 E.
Alle ore 18h45m il GPS fornisce le seguenti coordinate geografiche (punto B):
Lat. 42°24',0 N – Long. 010°05',1 E.
Posto che in zona sono presenti elementi perturbatori del moto, determinare la velocità della corrente Vc.","Vc = 2,2 ÷ 2,8 kn",,,,,,5.4.1 - 16,C,D,correnti
"L'imbarcazione “Deneb” si trova in navigazione ad Ovest dell'Isola del Giglio. Alle ore 18h00m l'imbarcazione determina la propria posizione individuata dalle seguenti coordinate geografiche GPS:Lat. 42° 22',3 N - Long. 010° 41',2 E (punto A).
Da tale posizione l'unità assume prora vera Pv = 063° ed una velocità
propulsiva Vp = 5 kn.
Considerando che in zona è presente una corrente di direzione Dc = S e
velocità Vc = 1,5 kn, l'imbarcazione “Deneb” naviga fino ad osservare il Faro di P.ta del Fenaio (Lam.(3)15s39m16M) per rilevamento vero Rilv = 150° (punto B), determinare l'ora di arrivo sul punto B.",ora di arrivo 19h 47m ÷ 19h 53m,,,,,,5.4.1 - 17,C,D,correnti
"L'imbarcazione “Bellatrix” è in navigazione a Nord dell'Isola di Montecristo e, alle ore 22h00m, determina la propria posizione osservando il “punto trigonometrico” di Monte della Fortezza per rilevamento vero Rilv = 160°, distanza di 3,9 miglia nautiche (punto A).Da tale posizione l'unità assume prora vera Pv = 038° ed una velocità propulsiva Vp = 5 kn.
Considerando che in zona è presente una corrente di direzione Dc = 095° e velocità Vc = 2 kn, determinare la velocità effettiva Ve.","Ve = 6 ÷ 6,6 kn",,,,,,5.4.1 - 18,C,D,correnti
"Nel 2006, alle ore 16h45m, l'unità “Acrux” si trova sul punto A, distanza 1 miglio sul rilevamento vero  Rilv = Nord della Torre di Capo d'Uomo (Talamone).
Dal punto A si fa rotta verso Giglio Porto (ingresso tra i due Fanali), impostando una velocità  propulsiva Vp = 20 kn.
Posto che il propulsore dell'unità ha un consumo orario di 65 l/h e che in zona non sono presenti elementi perturbatori del moto, determinare il carburante necessario, comprensivo del 30% di riserva, dal punto nave A sino al punto nave al traverso del faro di Punta Lividonia.","Carburante 19,5 ÷ 21,5 litri",,,,,,5.4.2 - 1,C,D,carburante
"Siamo in uscita dal fanale di Porto Santo Stefano (simbolo porto turistico) e navighiamo con rotta vera Rv = 320° dirigendo verso le Formiche di Grosseto. Alle ore 14h00m rileviamo il Faro di Formica Grande con rilevamento polare a sinistra  ρ = - 45°. Mantenendo la stessa rotta, alle ore 14h30m rileviamo lo stesso faro al traverso. Da questo punto si inverte la rotta e si rientra a Porto Santo Stefano (simbolo porto turistico).
Determinare la quantità di carburante necessaria per tutta la navigazione effettuata, inclusa la riserva,  considerando un consumo medio di 4 l/h.","Carburante 21,5 ÷ 23,5 litri",,,,,,5.4.2 - 2,C,D,carburante
"Partenza da Punta Lividonia con rotta vera Rv = 267°.
Al fine di determinare la velocità di navigazione effettiva, si determina il punto nave A eseguendo con faro Punta del Fenaio due rilevamenti polari:
ρ = +045° - 045° eseguito alle ore 10h00m ρ = +090° - 090° eseguito alle ore 10h30m
Da tale punto A si vuole raggiungere il porticciolo turistico di Talamone (simbolo).
Determinare il valore del carburante necessario per tutta la navigazione effettuata comprensivo della riserva sapendo che il motore ha un consumo orario di 10 l/h.",Carburante 49 ÷ 51 litri,,,,,,5.4.2 - 3,C,D,carburante
"Si parte da Giglio Porto (fanali) con una prora vera Pv = 042°.
Al fine di determinare la velocità di navigazione effettiva, si determina il nostro punto nave A eseguendo con faro Punta Lividonia alle ore 10.00 un primo
rilevamento polare a dritta ρ = +045° e dopo 30 minuti di navigazione sempre con lo stesso punto cospicuo un secondo rilevamento polare a dritta ρ = +090°. Da tale punto A si decide di cambiare rotta per arrivare a Formica Piccola.
Determinare la quantità di carburante necessaria a tutta la navigazione, comprensiva della riserva, sapendo che il motore ha un consumo pari a 12 l/h.",Carburante 56 ÷ 58 litri,,,,,,5.4.2 - 4,C,D,carburante
"Si parte dal punto A di coordinate geografiche GPS: Lat. 42° 25',7 N e Long. 011° 03',7 E con una prora bussola Pb = 267°  (variazione magnetica V = 0°) e una velocità propulsiva Vp = 4,2 kn.
Si eseguono con faro Punta del Fenaio (Nord isola del Giglio ) due rilevamenti polari a sinistra:
ρ =  -045° eseguito alle ore 16h30m ρ =  -090° eseguito alle ore 17h00m
Da tale punto nave B si decide di raggiungere Formica Grande. Determinare la quantità di carburante necessaria per tutta la navigazione, compresa la riserva, sapendo che il motore ha un consumo orario di 10 l/h.","Carburante 52,5 ÷ 54,5 litri",,,,,,5.4.2 - 5,C,D,carburante
"Si parte dal punto A di coordinate geografiche GPS: Lat. 42°20' N e Long. 010° 40' E con una prora bussola Pb = 061° e una velocità propulsiva Vp = 3,6 kn.   Si determina il punto nave B eseguendo con faro Punta del Fenaio (Nord isola del Giglio) due rilevamenti polari a dritta:
ρ = +045° eseguito alle ore 16h30m ρ = +090° eseguito alle ore 17h00m
Da tale punto B si decide di raggiungere Formica Grande.
Determinare la quantità di carburante necessaria per tutta la navigazione, comprensiva della riserva, sapendo che il motore ha un consumo pari a 10 l/h. Variazione magnetica 0°","Carburante 70,5 ÷ 72,5 litri",,,,,,5.4.2 - 6,C,D,carburante
"Partenza da Punta del Fenaio diretti a Talamone (faro) con una velocità
propulsiva Vp = 6 kn (declinazione d = 1°W, deviazione δ  +5°).
Alle ore 10.00 rileviamo il faro di Punta Lividonia per un primo Rlb 096°, dopo 20 minuti di navigazione lo rileviamo con un secondo Rlb 131°.
Determinare le coordinate del punto nave costiero delle ore 10:20.","Lat. 42°28',4 N ÷ 42°29',0 N      Long.
011°03',4 E ÷ 011°04',0
E",,,,,,5.4.3 - 1,C,D,navigazione costiera
"Stiamo navigando ad Est delle Formiche di Grosseto con una prora vera  Pv = 349° (variazione magnetica V = 2°E) con velocità propulsiva Vp = 6 kn.
Alle ore 10h00m rileviamo il faro di Formica Grande con rilevamento bussola Rilb = 278° e alle 10h20m  rileviamo lo stesso faro con rilevamento bussola Rilb
= 243°.
Determinare le coordinate del punto nave delle ore 10h20m.","Lat. 42°35',7 N  ÷ 42°36',3 N   Long.
010°56',8 E ÷ 010°57',4
E",,,,,,5.4.3 - 2,C,D,navigazione costiera
