ID,IMMAGINE,DOMANDA,RISPOSTA 1,RISPOSTA 1 V/F,RISPOSTA 2,RISPOSTA 2 V/F,RISPOSTA 3,RISPOSTA 3 V/F,PROGRESSIVO,CAPITOLO,TEMA,VOCE
413,,"In caso di navigazione con cattivo tempo, qual è il provvedimento da adottare:",si chiudono gli ombrinali.,F,"si chiudono oblò, boccaporti e prese a mare, lasciando aperta solo quelle del motore.",V,si chiudono necessariamente le prese a mare del motore.,F,1.3.8-23,BASE,SICUREZZA DELLA NAVIGAZIONE,Precauzioni da adottare in caso di navigazione con tempo cattivo
414,,Per attirare l'attenzione di un'altra unità in caso di pericolo:,dopo l'installazione è necessaria un'ispezione dell'Autorità Marittima del luogo ove è stata eseguita l'installazione.,F,"si effettua un movimento lento e ripetuto di entrambe le braccia allargate, dall'alto in basso.",V,è necessario il collaudo di un tecnico abilitato appartenente al Ministero dello Sviluppo Economico.,F,1.3.8-24,BASE,SICUREZZA DELLA NAVIGAZIONE,Precauzioni da adottare in caso di navigazione con tempo cattivo
415,,Quale affermazione è corretta?,per attirare l'attenzione di notte è possibile usare le boette fumogene.,F,per effettuare una chiamata di soccorso con il VHF è necessario un abbonamento.,F,il 1530 è il numero telefonico di emergenza della Guardia Costiera.,V,1.3.8-25,BASE,SICUREZZA DELLA NAVIGAZIONE,Precauzioni da adottare in caso di navigazione con tempo cattivo
416,,Quale titolo abilita il comandante di un'imbarcazione da diporto ad utilizzare un apparato ricetrasmittente VHF/FM?,il certificato illimitato di radiotelefonista per navi.,F,il certificato limitato di radiotelefonista per naviglio minore.,V,nessun titolo.,F,1.3.9-1,BASE,SICUREZZA DELLA NAVIGAZIONE,Corretto uso degli apparati radio di bordo e chiamate di soccorso
417,,Cosa è l'indicativo di chiamata?,consente di utilizzare il VHF a bordo di un natante da diporto.,V,consente di utilizzare il VHF a bordo di un'imbarcazione da diporto.,F,consente di utilizzare il VHF a bordo di una nave da diporto.,F,1.3.9-2,BASE,SICUREZZA DELLA NAVIGAZIONE,Corretto uso degli apparati radio di bordo e chiamate di soccorso
418,,Per installare a bordo un VHF di tipo fisso:,dopo l'installazione è necessaria un'ispezione dell'Autorità Marittima del luogo ove è stata eseguita l'installazione.,F,è richiesto solo di controllare che l’apparato sia omologato.,V,è necessario il collaudo di un tecnico abilitato appartenente al Ministero dello Sviluppo Economico.,F,1.3.9-3,BASE,SICUREZZA DELLA NAVIGAZIONE,Corretto uso degli apparati radio di bordo e chiamate di soccorso
419,,Il nominativo internazionale consente di:,identificare un natante da diporto non iscritto che sta navigando al di fuori delle acque nazionali.,F,utilizzare l'apparato VHF a bordo di imbarcazioni e navi da diporto.,V,utilizzare l'apparato VHF a bordo di un natante da diporto.,F,1.3.9-4,BASE,SICUREZZA DELLA NAVIGAZIONE,Corretto uso degli apparati radio di bordo e chiamate di soccorso
420,,Ogni quanto tempo gli apparati ricetrasmittenti installati a bordo sono sottoposti ad ispezioni ordinarie?,ogni 10 anni.,F,ogni 5 anni.,F,sono esonerati dalle ispezioni ordinarie.,V,1.3.9-5,BASE,SICUREZZA DELLA NAVIGAZIONE,Corretto uso degli apparati radio di bordo e chiamate di soccorso
421,,"In caso di richiesta di soccorso, in che occasione si utilizzano i ""razzi a paracadute a luce rossa""?",sempre.,F,"solo se sono ben visibili le luci di una nave, di un aeroplano, della costa.",F,"se si presume la presenza di una nave, di un aeroplano, della costa.",V,1.3.9-6,BASE,SICUREZZA DELLA NAVIGAZIONE,Corretto uso degli apparati radio di bordo e chiamate di soccorso
422,,"In caso di richiesta di soccorso, in che occasione si utilizzano i ""fuochi a mano a luce rossa""?","se sono ben visibili le luci di una nave, di un aeroplano, della costa.",V,"se si presume la presenza di una nave, di un aeroplano o della costa.",F,sempre.,F,1.3.9-7,BASE,SICUREZZA DELLA NAVIGAZIONE,Corretto uso degli apparati radio di bordo e chiamate di soccorso
423,,Quale canale radio VHF/FM è utilizzato per le chiamate di soccorso?,il canale 18.,F,il canale 68.,F,il canale 16.,V,1.3.9-8,BASE,SICUREZZA DELLA NAVIGAZIONE,Corretto uso degli apparati radio di bordo e chiamate di soccorso
424,,"Di norma, i razzi a paracadute a luce rossa, quando sparati in aria raggiungono una quota minima:",di 50 metri.,F,di 100 metri.,F,di 300 metri.,V,1.3.9-9,BASE,SICUREZZA DELLA NAVIGAZIONE,Corretto uso degli apparati radio di bordo e chiamate di soccorso
425,,La frequenza del Canale 16 è la:,102.5 MHz.,F,099.7 MHz.,F,156.8 Mhz.,V,1.3.9-10,BASE,SICUREZZA DELLA NAVIGAZIONE,Corretto uso degli apparati radio di bordo e chiamate di soccorso
426,,Chi riceve una richiesta di soccorso:,si occupa di coordinare i soccorsi.,F,si dirige verso il porto più vicino in cerca di aiuto.,F,rilancia la chiamata di soccorso ed eventualmente si adopera per prestare soccorso all'unità in pericolo.,V,1.3.9-11,BASE,SICUREZZA DELLA NAVIGAZIONE,Corretto uso degli apparati radio di bordo e chiamate di soccorso
427,,Da quale parola è preceduta la chiamata di soccorso?,PAN PAN ripetuta tre volte.,F,SECURITE' ripetuta tre volte.,F,MAYDAY ripetuta tre volte.,V,1.3.9-12,BASE,SICUREZZA DELLA NAVIGAZIONE,Corretto uso degli apparati radio di bordo e chiamate di soccorso
428,,Da cosa è preceduta la chiamata di urgenza?,la parola MAYDAY ripetuta tre volte.,F,le parole PAN PAN ripetute tre volte.,V,la parola SECURITE' ripetuta tre volte.,F,1.3.9-13,BASE,SICUREZZA DELLA NAVIGAZIONE,Corretto uso degli apparati radio di bordo e chiamate di soccorso
429,,La procedura per trasmettere correttamente un messaggio di soccorso:,il messaggio di soccorso da trasmettere deve essere preceduto dalla parola SECURITE' e seguito dalla parola MAYDAY.,F,il messaggio di soccorso da trasmettere deve essere preceduto dalla parola MAYDAY ripetuta tre volte.,V,il messaggio di soccorso da trasmettere deve essere seguito dalla parola PAN ripetuta tre volte.,F,1.3.9-14,BASE,SICUREZZA DELLA NAVIGAZIONE,Corretto uso degli apparati radio di bordo e chiamate di soccorso
430,,Da quale parola è preceduta la chiamata di sicurezza?,dalla parola SECURITE' ripetuta tre volte.,V,dalla parola MAYDAY ripetuta tre volte.,F,dalle parole PAN PAN ripetuta tre volte.,F,1.3.9-15,BASE,SICUREZZA DELLA NAVIGAZIONE,Corretto uso degli apparati radio di bordo e chiamate di soccorso
431,,Il Mayday va ripetuto durante la chiamata:,1 volta.,F,3 volte.,V,5 volte.,F,1.3.9-16,BASE,SICUREZZA DELLA NAVIGAZIONE,Corretto uso degli apparati radio di bordo e chiamate di soccorso
432,,L'obbligo del silenzio radio sul canale 16 si ha:,non esiste alcun obbligo.,F,"ogni ora,",F,nei primi 3 minuti successivi all'inizio dell'ora intera e della mezz'ora.,V,1.3.9-17,BASE,SICUREZZA DELLA NAVIGAZIONE,Corretto uso degli apparati radio di bordo e chiamate di soccorso
433,,Il canale 16 sulla banda di frequenza VHF è utilizzabile:,"tranquillamente, sempre se non c'è situazione di emergenza.",F,solo in caso di comunicazioni riguardanti la sicurezza.,F,solo per la prima chiamata; per proseguire la comunicazione bisogna poi spostarsi su un altro canale.,V,1.3.9-18,BASE,SICUREZZA DELLA NAVIGAZIONE,Corretto uso degli apparati radio di bordo e chiamate di soccorso
434,,Nel caso si renda necessario lanciare un MAYDAY via radio:,lo si lancia a intervalli di tre minuti.,F,lo si lancia sulla frequenza di lavoro della stazione radio più vicina,F,"si comunicano nell'ordine: nominativo internazionale, coordinate della posizione e tipo di pericolo in corso.",V,1.3.9-19,BASE,SICUREZZA DELLA NAVIGAZIONE,Corretto uso degli apparati radio di bordo e chiamate di soccorso
435,,Come si impone il silenzio radio col VHF ?,pronunciando la parola SILENCE MAYDAY.,V,pronunciando la parola SECURITÈ.,F,pronunciando la parola PAN PAN.,F,1.3.9-20,BASE,SICUREZZA DELLA NAVIGAZIONE,Corretto uso degli apparati radio di bordo e chiamate di soccorso
436,,Per le comunicazioni tra barca e barca si possono usare i canali,i canali 16 e 68.,F,"i canali 6, 8, 72 o 77.",V,il canale 14.,F,1.3.9-21,BASE,SICUREZZA DELLA NAVIGAZIONE,Corretto uso degli apparati radio di bordo e chiamate di soccorso
437,,Per le comunicazioni tramite VHF con apparato fisso:,"è sempre opportuno usare la potenza massima di emissione di 25 watt, perché il segnale sia sempre chiaro.",F,quando si è a distanza ravvicinata è opportuno utilizzare la potenza ridotta di 1 watt.,V,si deve selezionare sempre la potenza di 1 watt.,F,1.3.9-22,BASE,SICUREZZA DELLA NAVIGAZIONE,Corretto uso degli apparati radio di bordo e chiamate di soccorso
438,,"In tema di VHF, quale tra le seguenti affermazioni è corretta:",tutti gli apparati ricetrasmittenti di bordo delle unità da diporto sono sottoposti a collaudo e a ispezioni ordinarie.,F,il VHF può essere utilizzato solo dal comandante dell'unità da diporto.,F,il comandante dell'unità da diporto è responsabile del corretto utilizzo degli impianti e degli apparati ricetrasmittenti di bordo.,V,1.3.9-23,BASE,SICUREZZA DELLA NAVIGAZIONE,Corretto uso degli apparati radio di bordo e chiamate di soccorso
439,,Le comunicazioni radio effettuate mediante apparati VHF possono essere effettuate qualora:,le antenne di due stazioni comunicanti sono ubicate ad un'altezza di circa due metri al di sotto della linea dell'orizzonte.,F,le antenne di due stazioni comunicanti sono ubicate al di sopra della linea dell'orizzonte.,V,le antenne di due stazioni comunicanti sono ubicate ad un'altezza di circa un metro al di sotto della linea dell'orizzonte.,F,1.3.9-24,BASE,SICUREZZA DELLA NAVIGAZIONE,Corretto uso degli apparati radio di bordo e chiamate di soccorso
440,,Qual è di massima la portata dell'apparato VHF per le comunicazioni fra unità navali?,inferiore a 5 miglia nautiche.,F,fra 10 e 20 miglia nautiche,V,circa 30 miglia nautiche.,F,1.3.9-25,BASE,SICUREZZA DELLA NAVIGAZIONE,Corretto uso degli apparati radio di bordo e chiamate di soccorso
441,,Qual è la portata massima dell'apparato VHF per le comunicazioni tra un'unità navale e le stazioni radio costiere?,circa 40 miglia nautiche.,V,inferiore alle 20 miglia nautiche.,F,circa 150 miglia nautiche.,F,1.3.9-26,BASE,SICUREZZA DELLA NAVIGAZIONE,Corretto uso degli apparati radio di bordo e chiamate di soccorso
442,,A quale funzione assolve lo squelch di un ricevitore radio?,attenuare il rumore di fondo durante le comunicazioni.,V,rafforzare l'eco del radar installato a bordo.,F,garantire il collegamento sul canale di lavoro restando in ricezione anche sul canale 16.,F,1.3.9-27,BASE,SICUREZZA DELLA NAVIGAZIONE,Corretto uso degli apparati radio di bordo e chiamate di soccorso
443,,"A quale funzione assolve il riflettore radar, installato a bordo delle piccole unità da diporto?","intensificare l'eco di ritorno al radar, permettendo di attenuare i disturbi di origine meteorologica.",F,"intensificare l'eco di ritorno al radar, permettendo di identificare anche una piccola unità navale su cui è installato, sia a grande distanza che tra i vari echi del mare.",V,"intensificare l'eco di ritorno al radar, permettendo di amplificare i campi magnetici di bordo.",F,1.3.9-28,BASE,SICUREZZA DELLA NAVIGAZIONE,Corretto uso degli apparati radio di bordo e chiamate di soccorso
444,,"Per motivi di sicurezza, quali sono gli intervalli temporali per i quali è vietato effettuare comunicazioni radio?",tra i minuti 00-03 e 30-33 di ogni ora.,V,tra i minuti 03-06 e 33-36 delle ore pari.,F,tra i minuti 00-03 e 30-33 delle ore pari.,F,1.3.9-29,BASE,SICUREZZA DELLA NAVIGAZIONE,Corretto uso degli apparati radio di bordo e chiamate di soccorso
445,,Qual è la sanzione amministrativa prevista per coloro che superano i limiti di velocità previsti per la navigazione negli specchi d'acqua portuali?,il pagamento di una somma da 414 euro a 2.066 euro.,V,il pagamento di una somma da 2775 a 11.017 euro.,F,non è prevista una sanzione pecuniaria.,F,1.4.1-1,BASE,MANOVRA E CONDOTTA,Precauzioni all'ingresso  e  all'uscita dei  porti
446,,Esiste un limite di velocità per un'unità da diporto in transito all'interno di un porto?,"sì, è la velocità minima prima di entrare in planata.",F,"no, non esiste.",F,"sì, è stabilito dall'Autorità marittima di giurisdizione, generalmente 3 nodi.",V,1.4.1-2,BASE,MANOVRA E CONDOTTA,Precauzioni all'ingresso  e  all'uscita dei  porti
447,,In quali porti bisogna tenere la dritta sia entrando sia uscendo?,in nessun porto.,F,"in tutti, eccetto Genova.",F,nei porti come disciplinato con ordinanza dell'Autorità marittima.,V,1.4.1-3,BASE,MANOVRA E CONDOTTA,Precauzioni all'ingresso  e  all'uscita dei  porti
448,,In quali porti bisogna dare la precedenza alle unità che escono su quelle che entrano?,in tutti i porti in cui così stabilisca il regolamento dell'Autorità marittima.,V,in tutti i porti.,F,in nessun porto.,F,1.4.1-4,BASE,MANOVRA E CONDOTTA,Precauzioni all'ingresso  e  all'uscita dei  porti
449,,"Entrando in un porto commerciale, privo di attrezzature da diporto, di norma dobbiamo avvisare:",l'Autorità marittima.,V,non dobbiamo avvisare nessuno.,F,il concessionario del servizio di rimorchio.,F,1.4.1-5,BASE,MANOVRA E CONDOTTA,Precauzioni all'ingresso  e  all'uscita dei  porti
450,,"Salvo le ordinanze locali, di norma, in prossimità dell'ingresso di un porto:",diamo precedenza alle manovre delle navi di grande dimensioni.,V,"di notte, i fanali in testata ai moli emettono luce fissa verde per via libera.",F,"se con scarsa visibilità, segnaliamo la nostra presenza con 2 suoni brevi.",F,1.4.1-6,BASE,MANOVRA E CONDOTTA,Precauzioni all'ingresso  e  all'uscita dei  porti
451,,"Accingendosi all'ingresso in un porto italiano, in navigazione notturna, e rilevando i fanali dell'imboccatura in modo che il verde sia sulla propria sinistra e il rosso sia sulla propria dritta:",si deve cambiare rotta perché si sta andando contro il molo foraneo.,V,ci si deve tenere sulla dritta in modo da non ostacolare l'eventuale uscita di altre unità.,F,è possibile procedere su questa rotta d'ingresso perché non si rilevano unità in uscita.,F,1.4.1-7,BASE,MANOVRA E CONDOTTA,Precauzioni all'ingresso  e  all'uscita dei  porti
452,,Di giorno come si presenta l’ingresso dell'imboccatura di un porto?,due torrette o colonnine: rossa a sinistra e gialla a dritta.,F,due torrette o colonnine: rossa a sinistra verde a dritta.,V,due torrette o colonnine: verde a sinistra e rossa a dritta.,F,1.4.1-8,BASE,MANOVRA E CONDOTTA,Precauzioni all'ingresso  e  all'uscita dei  porti
453,Figura 20,"Salvo le ordinanze locali, di norma quale delle due imbarcazioni in figura a lato ha il diritto di precedenza?","l'unità A, perché proviene da dritta.",F,"l'unità A, perché è in fase di avvicinamento all'imboccatura del porto.",F,"l'unità B, perché sta uscendo dal porto.",V,1.4.1-9,BASE,MANOVRA E CONDOTTA,Precauzioni all'ingresso  e  all'uscita dei  porti
454,,"Salvo le ordinanze locali, a che distanza dall’ingresso del porto è buona norma ridurre la velocità di un'imbarcazione da diporto?",dipende dalle dimensioni della nostra unità da diporto.,F,a 1000 metri.,F,a 500 metri.,V,1.4.1-10,BASE,MANOVRA E CONDOTTA,Precauzioni all'ingresso  e  all'uscita dei  porti
455,,"Salvo le ordinanze locali, a quale velocità è buona norma entrare in porto?",4 nodi per le unità a motore e 2 nodi per le unità a vela.,F,3 nodi.,V,"in base al tempo, alla visibilità ed alle dimensioni dell'unità, ad una velocità compresa tra 4 nodi e 10 nodi.",F,1.4.1-11,BASE,MANOVRA E CONDOTTA,Precauzioni all'ingresso  e  all'uscita dei  porti
456,,"Salvo ordinanze locali, di norma è possibile entrare in un porto navigando a vela?","sì, ma riducendo la velatura in modo da sviluppare un'andatura ridotta.",F,"sì, è sempre possibile.",F,"no, non è possibile.",V,1.4.1-12,BASE,MANOVRA E CONDOTTA,Precauzioni all'ingresso  e  all'uscita dei  porti
457,,Come viene segnalato di notte l’ingresso di un porto?,2 fanali rossi a 800 m dall’ingresso e 2 fanali verdi in prossimità dell’ingresso.,F,2 fanali: verde sulla dritta e rosso sulla sinistra.,V,2 fanali: verde e rosso o verde e bianco sormontati da una luce gialla a lampi.,F,1.4.1-13,BASE,MANOVRA E CONDOTTA,Precauzioni all'ingresso  e  all'uscita dei  porti
458,,"Salvo le ordinanze locali, volendo entrare in porto, verso quale fanale si deve condurre la propria unità?",verso il fanale verde.,V,"verso il fanale rosso, in qualsiasi condizioni di moto effettivo.",F,"verso il fanale verde o rosso, l’importante è ridurre la velocità e dare la precedenza alle unità in uscita.",F,1.4.1-14,BASE,MANOVRA E CONDOTTA,Precauzioni all'ingresso  e  all'uscita dei  porti
459,,"In uscita dal porto, nel dubbio di non essere visto da altre imbarcazioni, come ci si  comporta?",emettendo 5 suoni brevi (segnale di pericolo).,F,emettendo 1 suono prolungato e ascoltando l’eventuale risposta.,V,emettendo 2 suoni lunghi e 2 brevi.,F,1.4.1-15,BASE,MANOVRA E CONDOTTA,Precauzioni all'ingresso  e  all'uscita dei  porti
460,,"Conseguentemente all'ormeggio da me compiuto e del conseguente moto ondoso generato, l'unità ormeggiata al mio fianco patisce dei danni per aver urtato contro la banchina. Pertanto, il danneggiato:","ha diritto al risarcimento del danno stante l'irregolare condotta della navigazione e la conseguente responsabilità per urto tra navi, anche se dovuto al solo moto ondoso.",V,ha diritto al risarcimento solo se il danno patito sia conseguenza di un urto per contatto fisico diretto di nave contro nave.,F,ha torto poiché la sua unità non avrebbe urtato in banchina se egli si fosse prodigato per assicurare adeguatamente i suoi ormeggi nel mentre che mi accingevo ad ormeggiare la mia unità.,F,1.4.1-16,BASE,MANOVRA E CONDOTTA,Precauzioni all'ingresso  e  all'uscita dei  porti
461,,"Fatte salve le ordinanze locali, come deve comportarsi l’unità che transita nei 500 metri antistanti l’ingresso del porto?",valgono le normali regole di precedenza.,F,deve dare la precedenze alle unità in entrata e in uscita dal porto.,V,se è a vela ha diritto di precedenza.,F,1.4.1-17,BASE,MANOVRA E CONDOTTA,Precauzioni all'ingresso  e  all'uscita dei  porti
462,,"Per il demanio marittimo non in regime di concessione destinato alla navigazione e al trasporto marittimo, la riserva per gli accosti alle  unità da diporto in transito è disciplinata:",con ordinanza del Capo del circondario marittimo competente.,V,dal Prefetto.,F,dal Ministero delle Infrastrutture.,F,1.4.1-18,BASE,MANOVRA E CONDOTTA,Precauzioni all'ingresso  e  all'uscita dei  porti
463,,Quale affermazione è corretta?,"un'unità che naviga lungo un canale  deve, quando è possibile e non comporta pericolo, mantenersi vicino al limite di destra rispetto alla propria rotta.",V,è consentita la pesca nell'ambito dei bacini portuali.,F,all'interno dei campi boe è consentito l'ancoraggio.,F,1.4.1-19,BASE,MANOVRA E CONDOTTA,Precauzioni all'ingresso  e  all'uscita dei  porti
464,,I concessionari delle strutture dedicate alla nautica da diporto devono riservare ormeggi in transito:,per la durata di 24 ore.,F,per la durata di 48 ore.,F,per la durata di 72 ore.,V,1.4.1-20,BASE,MANOVRA E CONDOTTA,Precauzioni all'ingresso  e  all'uscita dei  porti
465,,Gli ormeggi riservati alle persone con disabilità:,"quando non impegnati a tale fine, possono essere occupati da altra unità, con l'obbligo di essere liberati in caso di richiesta di portatore di handicap comunicata al concessionario almeno 24 ore prima.",V,non possono mai essere occupati da altra unità.,F,possono essere occupati solo da natanti per trascorrere la notte.,F,1.4.1-21,BASE,MANOVRA E CONDOTTA,Precauzioni all'ingresso  e  all'uscita dei  porti
466,,Quale accorgimento deve essere adottato da un'unità navale da diporto a motore in navigazione in prossimità della costa durante la stagione balneare?,navigare a una velocità non superiore a 10 nodi nella fascia di mare compresa tra il limite della balneazione e i 1.000 metri dalla costa.,V,navigare a una velocità superiore a 10 nodi nella fascia di mare compresa tra i 250 e i 500 metri dalla costa.,F,navigare a una velocità non superiore a 10 nodi nella fascia di mare compresa tra i 50 e i 250 metri dalla costa.,F,1.4.2-1,BASE,MANOVRA E CONDOTTA,Navigazione in prossimità della costa
467,,"A quale distanza minima devono mantenersi le unità navali dalle boe di segnalazione di subacquei, avvistate durante la navigazione?",a una distanza di almeno 50 metri.,F,a una distanza di almeno 20 metri.,F,a una distanza di almeno 100 metri.,V,1.4.2-2,BASE,MANOVRA E CONDOTTA,Navigazione in prossimità della costa
468,,Quali norme disciplinano i limiti di navigazione dalla costa e le prescrizioni relative all'atterraggio delle unità navali da diporto in spiaggia?,SOLAS e COLREG.,F,ordinanze dei locali Capi di Circondario Marittimo ai sensi dell'art. 81 del Codice della Navigazione.,V,Codice Internazionale dei Segnali e i Portolani.,F,1.4.2-3,BASE,MANOVRA E CONDOTTA,Navigazione in prossimità della costa
469,,"Qual è, di massima, la distanza minima dalle spiagge oltre la quale è possibile circolare, sostare o ancorarsi da parte di un'unità navale?",di massima 500 metri.,F,di massima 1.000 metri.,F,di massima 200 metri.,V,1.4.2-4,BASE,MANOVRA E CONDOTTA,Navigazione in prossimità della costa
470,,Come sono segnalati i confini degli specchi acquei prospicienti i 200 metri dalla linea di battigia durante la stagione balneare?,mediante il posizionamento di gavitelli di colore bianco e rosso posti ad una distanza di 100 metri l'uno dall'altro parallelamente alla linea di costa.,F,mediante il posizionamento di gavitelli di colore rosso posti ad una distanza di 50 metri l'uno dall'altro parallelamente alla linea di costa.,V,mediante il posizionamento di gavitelli di colore giallo posti ad una distanza di 100 metri l'uno dall'altro parallelamente alla linea di costa.,F,1.4.2-5,BASE,MANOVRA E CONDOTTA,Navigazione in prossimità della costa
471,,"Come sono segnalati i corridoi di lancio che consentono l'atterraggio e la partenza delle unità sulla spiaggia, durante la stagione balneare?",con gavitelli di colore verde a dritta e rosso a sinistra posti perpendicolarmente alla costa sino a una distanza di 250 metri.,F,con gavitelli di colore giallo o arancione posti perpendicolarmente alla costa sino a una distanza di 250 metri.,V,con gavitelli di colore bianco e rosso posti perpendicolarmente alla costa sino a una distanza di 500 metri.,F,1.4.2-6,BASE,MANOVRA E CONDOTTA,Navigazione in prossimità della costa
472,,"Come sono segnalati i gavitelli esterni di delimitazione dei corridoi di lancio che consentono l'atterraggio e la partenza delle unità sulla spiaggia, durante la stagione balneare?",mediante bandiere bianche posizionate sui gavitelli esterni.,V,mediante bandiere rosse posizionate sui gavitelli esterni.,F,mediante bandiere rosse con banda obliqua bianca posizionate sui gavitelli esterni.,F,1.4.2-7,BASE,MANOVRA E CONDOTTA,Navigazione in prossimità della costa
473,,"Oltre ai segnalamenti marittimi previsti dalle norme in vigore, quali segnalamenti marittimi contraddistinguono un'unità navale impiegata in attività subacquee durante le ore diurne?",un pallone bianco sul quale è posta una bandiera di colore arancione.,F,un pallone rosso sul quale è posta una bandiera di colore rosso con diagonale bianca.,V,una bandiera di colore bianco con diagonale rossa.,F,1.4.2-8,BASE,MANOVRA E CONDOTTA,Navigazione in prossimità della costa
474,,Quale segnalamenti marittimi contraddistinguono un'unità impiegata in attività subacquee durante le ore notturne?,"oltre ai segnalamenti marittimi previsti,  una luce lampeggiante rossa visibile a 360° a una distanza non inferiore ai 300 metri.",F,"oltre ai segnalamenti marittimi previsti,  una luce lampeggiante  bianca visibile a 360° a una distanza non inferiore ai 300 metri.",F,"oltre ai segnalamenti marittimi previsti,  una luce lampeggiante  gialla visibile a 360° a una distanza non inferiore ai 300 metri.",V,1.4.2-9,BASE,MANOVRA E CONDOTTA,Navigazione in prossimità della costa
475,,Quale sanzione amministrativa è prevista per coloro che utilizzano un'unità da diporto superando i limiti di velocità previsti?,il pagamento di una somma da 414 euro a 2.066 euro.,V,il pagamento di una somma da 2.066 euro a 4.000 euro.,F,il pagamento di una somma da 414 euro a 818 euro.,F,1.4.2-10,BASE,MANOVRA E CONDOTTA,Navigazione in prossimità della costa
476,,"Durante la stagione balneare, quale percorso devo seguire per raggiungere la riva (posto l'assoluta necessità per motivi di emergenza)?",mi avvicino a lento moto con l'ausilio dei remi e comunque assumendo una rotta in direzione perpendicolare al profilo di costa.,V,uso il tender propulso con il motore fuori bordo e mi muovo a lento moto.,F,uso la moto d'acqua di bordo a lento moto.,F,1.4.2-11,BASE,MANOVRA E CONDOTTA,Navigazione in prossimità della costa
477,,Un'unità in transito in prossimità di un subacqueo:,modera la velocità e prosegue la navigazione mantenendosi ad una distanza di almeno 100 metri di distanza dal segnale.,V,modera la velocità e prosegue la navigazione mantenendosi ad una distanza di ad almeno 50 metri di distanza dal segnale.,F,accelera per allontanarsi dal segnale sino alla distanza minima di sicurezza prescritta dalla legge che è di 500 metri.,F,1.4.2-12,BASE,MANOVRA E CONDOTTA,Navigazione in prossimità della costa
478,,"Se durante la navigazione si rileva che sulla propria rotta è in corso di svolgimento una manifestazione sportiva in un campo di regata; fermo restando le prescrizioni impartite con l'ordinanza di polizia marittima, per proseguire la  navigazione sono adottate le seguenti precauzioni:",attraversare il campo di regata non appena le unità in gara si siano spostate in altro settore della zona di regata.,F,comunicare sul canale 16 VHF l'intenzione di attraversare il campo di gara e attendere istruzioni.,F,modificare il proprio percorso di rotta per mantenersi a debita distanza dai limiti del campo di gara.,V,1.4.2-13,BASE,MANOVRA E CONDOTTA,Navigazione in prossimità della costa
479,Figura 21,"La bandiera A (Alfa) in figura a fianco, prescritta dal Codice Internazionale dei Segnali, è esposta da un'unità per indicare che:",ha imbarcato il pilota del porto.,F,ha un palombaro in immersione.,V,è ferma.,F,1.4.2-14,BASE,MANOVRA E CONDOTTA,Navigazione in prossimità della costa
480,,Una bandierina rossa con banda diagonale bianca posta su un galleggiante indica la presenza di:,un pericolo isolato.,F,attrezzi di pesca presenti in mare nel raggio di 100 metri dal segnale.,F,un subacqueo in immersione nel raggio di 50 metri dal segnale.,V,1.4.2-15,BASE,MANOVRA E CONDOTTA,Navigazione in prossimità della costa
481,,"Per segnalare la propria posizione, il subacqueo in immersione notturna deve mostrare una boa munita di segnale luminoso che emetta lampi gialli visibili, a giro d'orizzonte, a una distanza:",non inferiore a 100 metri.,F,non inferiore a 200 metri.,F,non inferiore a 300 metri.,V,1.4.2-16,BASE,MANOVRA E CONDOTTA,Navigazione in prossimità della costa
482,,I corridoi di lancio sono zone di mare dove:,è possibile lanciarsi in tuffi durante la balneazione.,F,è permesso il lancio e l'atterraggio di natanti da diporto propulsi a motore.,V,è permesso il lancio ma non anche l'atterraggio di natanti propulsi a remi.,F,1.4.2-17,BASE,MANOVRA E CONDOTTA,Navigazione in prossimità della costa
483,,Si può esercitare l'attività di pesca sportiva con un'unità da diporto?,"Sì, entro certi limiti di cattura.",V,"Sì, ma esclusivamente con un'unità iscritta.",F,"No, assolutamente.",F,1.4.2-18,BASE,MANOVRA E CONDOTTA,Navigazione in prossimità della costa
484,,La distanza massima intercorrente tra il pescatore subacqueo e la sua boa di segnalazione è pari a:,100 metri.,F,50 metri.,V,150 metri.,F,1.4.2-19,BASE,MANOVRA E CONDOTTA,Navigazione in prossimità della costa
485,,La moto d'acqua può navigare:,entro mille metri dalla costa.,F,entro 1 miglio dalla costa.,V,entro 2 chilometri dalla costa.,F,1.4.2-20,BASE,MANOVRA E CONDOTTA,Navigazione in prossimità della costa
486,,La tavola a vela può navigare:,entro 1 miglio dalla costa.,V,entro 2 chilometri dalla costa.,F,entro mille metri dalla costa.,F,1.4.2-21,BASE,MANOVRA E CONDOTTA,Navigazione in prossimità della costa
487,,I battelli al servizio (tender) dell'unità-madre da diporto possono navigare:,entro 6 miglia dalla costa.,F,entro 1 miglio dalla costa.,F,"entro 1 miglio dalla costa o dall'unità madre, ovunque si trovi.",V,1.4.2-22,BASE,MANOVRA E CONDOTTA,Navigazione in prossimità della costa
488,,Un natante con superficie velica non superiore a 4 metri quadrati può navigare:,entro 1 miglio dalla costa.,V,entro 2 chilometri dalla costa.,F,entro mille metri dalla costa,F,1.4.2-23,BASE,MANOVRA E CONDOTTA,Navigazione in prossimità della costa
489,,"I natanti comunemente denominati pattini, jole, pedalò, mosconi, ecc., possono navigare:",entro 2 chilometri dalla costa.,F,entro 1 miglio dalla costa.,V,entro 500 metri dalla costa.,F,1.4.2-24,BASE,MANOVRA E CONDOTTA,Navigazione in prossimità della costa
